RUN	RecordedSimulationKakuro	recordedsimulationkakuro	1561534927909	 	3.1.2
USER	RecordedSimulationKakuro	2	START	1561534928508	1561534928508
USER	RecordedSimulationKakuro	3	START	1561534928508	1561534928508
USER	RecordedSimulationKakuro	1	START	1561534928508	1561534928508
USER	RecordedSimulationKakuro	4	START	1561534928540	1561534928540
USER	RecordedSimulationKakuro	5	START	1561534928546	1561534928546
USER	RecordedSimulationKakuro	6	START	1561534928550	1561534928550
USER	RecordedSimulationKakuro	7	START	1561534928562	1561534928562
USER	RecordedSimulationKakuro	8	START	1561534928578	1561534928578
USER	RecordedSimulationKakuro	9	START	1561534928587	1561534928587
USER	RecordedSimulationKakuro	10	START	1561534928593	1561534928593
USER	RecordedSimulationKakuro	11	START	1561534928609	1561534928609
USER	RecordedSimulationKakuro	12	START	1561534928610	1561534928610
USER	RecordedSimulationKakuro	13	START	1561534928625	1561534928625
USER	RecordedSimulationKakuro	14	START	1561534928641	1561534928641
USER	RecordedSimulationKakuro	15	START	1561534928641	1561534928641
USER	RecordedSimulationKakuro	16	START	1561534928656	1561534928656
USER	RecordedSimulationKakuro	17	START	1561534928660	1561534928660
USER	RecordedSimulationKakuro	18	START	1561534928672	1561534928672
USER	RecordedSimulationKakuro	19	START	1561534928687	1561534928687
USER	RecordedSimulationKakuro	20	START	1561534928690	1561534928690
USER	RecordedSimulationKakuro	21	START	1561534928703	1561534928703
USER	RecordedSimulationKakuro	22	START	1561534928719	1561534928719
USER	RecordedSimulationKakuro	23	START	1561534928720	1561534928720
USER	RecordedSimulationKakuro	24	START	1561534928734	1561534928734
USER	RecordedSimulationKakuro	26	START	1561534928750	1561534928750
USER	RecordedSimulationKakuro	25	START	1561534928750	1561534928750
USER	RecordedSimulationKakuro	27	START	1561534928765	1561534928765
USER	RecordedSimulationKakuro	28	START	1561534928781	1561534928781
USER	RecordedSimulationKakuro	29	START	1561534928797	1561534928797
USER	RecordedSimulationKakuro	30	START	1561534928800	1561534928800
USER	RecordedSimulationKakuro	31	START	1561534928812	1561534928812
USER	RecordedSimulationKakuro	32	START	1561534928830	1561534928830
