RUN	computerdatabase.BasicSimulation	basicsimulation	1561388442432	0	3.1.2
USER	Scenario Name	1	START	1561388444583	1561388444583
REQUEST	1		request_1	1561388444632	1561388444719	OK	 
REQUEST	1		request_1 Redirect 1	1561388444732	1561388444777	OK	 
REQUEST	1		request_2	1561388451818	1561388451895	OK	 
REQUEST	1		request_3	1561388453873	1561388453923	OK	 
REQUEST	1		request_4	1561388456928	1561388456959	OK	 
REQUEST	1		request_4 Redirect 1	1561388456960	1561388457002	OK	 
REQUEST	1		request_5	1561388459007	1561388459065	OK	 
REQUEST	1		request_6	1561388459728	1561388459774	OK	 
REQUEST	1		request_7	1561388460416	1561388460477	OK	 
REQUEST	1		request_8	1561388461203	1561388461241	OK	 
REQUEST	1		request_9	1561388466244	1561388466332	OK	 
REQUEST	1		request_10	1561388467349	1561388467420	OK	 
REQUEST	1		request_10 Redirect 1	1561388467430	1561388467466	OK	 
USER	Scenario Name	1	END	1561388444583	1561388468022
